cores,time
1, 15.067729576599996 
1, 15.00625591928333 
1, 15.149468825299998 
1, 14.784988609616676 
1, 15.148866275916665 
1, 14.91094656350001 
1, 14.89806362436666 
1, 15.319855761366655 
1, 14.989558154700019 
1, 14.784364223666671 
2, 7.4864294626333505 
2, 7.387346113150003 
2, 7.428639002683334 
2, 7.406930035000005 
2, 7.4368456363166535 
2, 7.4919884895 
2, 7.374086816633341 
2, 7.538446884033329 
2, 7.402381437583335 
2, 7.433735031183338 
3, 5.397981403200022 
3, 5.408354708183318 
3, 5.3905671663333425 
3, 5.4078740694166605 
3, 5.4972499425499946 
3, 5.483064290399974 
3, 5.408952555800048 
3, 5.493538044733335 
3, 5.507200308566705 
3, 5.404394720333342 
4, 4.540718186266653 
4, 4.471959248966656 
4, 4.5143723820166395 
4, 4.509194369333333 
4, 4.520050474583331 
4, 4.442084705916689 
4, 4.4783000593499915 
4, 4.510627234216675 
4, 4.525454201066653 
4, 4.543451379200026
Pi 5,ARM Cortex A76 2.4GHz
