cores,resolution,time
1,0.005,14.723533547667708
1,0.005,15.226890543467986
1,0.005,14.947953609901015
1,0.005,16.544661096167207
1,0.005,14.931265677249758
1,0.005,15.013588147082677
1,0.005,14.936998897732702
1,0.005,15.547355787882891
1,0.005,14.940962984851407
1,0.005,15.493675698266209
1,0.01,7.439966850234971
1,0.01,7.574564841333388
1,0.01,7.5625632419328515
1,0.01,7.42827748133374
1,0.01,7.429016548965592
1,0.01,7.636094262782717
1,0.01,7.519193100682847
1,0.01,7.624900801949358
1,0.01,7.591650931583717
1,0.01,7.394286045032398
1,0.02,3.742973120632814
1,0.02,3.6792797480671044
1,0.02,3.811144544483007
1,0.02,3.6964355931500905
1,0.02,3.9155107802827844
1,0.02,3.7266597416833975
1,0.02,3.7211434789176563
1,0.02,3.8468178141183063
1,0.02,3.872951967298286
1,0.02,3.734080130267345
1,0.04,1.8634521416485466
1,0.04,1.850305818700387
1,0.04,1.840097979134104
1,0.04,1.8381895053510864
1,0.04,1.8590830097498838
1,0.04,1.849053436766068
1,0.04,1.8825513231994895
1,0.04,1.8379321491500984
1,0.04,1.9027614346006885
1,0.04,1.8537568881331632
1,0.08,0.9198879301004733
1,0.08,0.934672435883355
1,0.08,0.9248320714007908
1,0.08,0.9174814610994265
1,0.08,0.9165089022484608
1,0.08,0.9651670162818239
1,0.08,0.9139044994333138
1,0.08,0.9145704522321466
1,0.08,0.9120645314163994
1,0.08,0.9097413585851124
1,0.16,0.47107216326791485
1,0.16,0.4628614553832449
1,0.16,0.44796852375147866
1,0.16,0.48820767806804116
1,0.16,0.48625681305032536
1,0.16,0.4643900175501282
1,0.16,0.4462989451829344
1,0.16,0.4637144851323683
1,0.16,0.4577538996333412
1,0.16,0.4597483839335231
2,0.005,7.458664420767066
2,0.005,7.508884231666646
2,0.005,7.430146867166816
2,0.005,7.5728249489329755
2,0.005,7.612804696516832
2,0.005,7.477956565032946
2,0.005,7.5880770689846635
2,0.005,7.448589343515535
2,0.005,7.548739904149746
2,0.005,7.620472224632977
2,0.01,4.181468878083009
2,0.01,3.7051609716999034
2,0.01,3.734579339582706
2,0.01,3.7143550927498534
2,0.01,3.688031128483514
2,0.01,3.711700784632315
2,0.01,3.7515241886333874
2,0.01,3.813907282300837
2,0.01,3.765005789650604
2,0.01,3.70934271083291
2,0.02,1.845557848950072
2,0.02,1.8384283080832877
2,0.02,1.8641139341324258
2,0.02,1.96789079378359
2,0.02,1.867149438301567
2,0.02,1.8688448245675924
2,0.02,1.8687673484654321
2,0.02,1.9062836691659564
2,0.02,1.8685263130173553
2,0.02,1.9106345535993265
2,0.04,0.9435068807506468
2,0.04,0.904870343299505
2,0.04,0.9417133426507159
2,0.04,0.920582347966653
2,0.04,0.9188605499337428
2,0.04,0.9261406338502032
2,0.04,0.9184276657004375
2,0.04,0.9855746695344957
2,0.04,0.9216540082668264
2,0.04,0.9305867302173283
2,0.08,0.4604071090987418
2,0.08,0.4589905451672773
2,0.08,0.4630729836508787
2,0.08,0.47916431409927707
2,0.08,0.4597064972680528
2,0.08,0.46432153083151206
2,0.08,0.46720865336634837
2,0.08,0.46207999378287545
2,0.08,0.461674616165692
2,0.08,0.4627318919849737
2,0.16,0.22568413326710773
2,0.16,0.23261868880169156
2,0.16,0.23123801333325295
2,0.16,0.23458867371664383
2,0.16,0.22975182565084348
2,0.16,0.2307467143672208
2,0.16,0.22760087414838684
2,0.16,0.2304427275666967
2,0.16,0.22880740025041935
2,0.16,0.2292012237672073
3,0.005,5.119917746949553
3,0.005,5.0027119711507115
3,0.005,5.041725222283276
3,0.005,5.111483837433237
3,0.005,5.022117182699731
3,0.005,5.053138271249676
3,0.005,5.051182184149123
3,0.005,5.022539461799897
3,0.005,5.0457800204011924
3,0.005,5.1251841406493135
3,0.01,2.574772318316779
3,0.01,2.5219062817166558
3,0.01,2.5656301638829366
3,0.01,2.6009453278830432
3,0.01,2.5261207035994935
3,0.01,2.496142684284132
3,0.01,2.4963647041159374
3,0.01,2.503295692432827
3,0.01,2.5637911580173145
3,0.01,2.575542797082259
3,0.02,1.2418336276488844
3,0.02,1.299005341650142
3,0.02,1.2408039424160962
3,0.02,1.252931678200063
3,0.02,1.2556992378163463
3,0.02,1.289828237782543
3,0.02,1.2508247497336318
3,0.02,1.2473198694176972
3,0.02,1.252786409916977
3,0.02,1.2377099566840721
3,0.04,0.6204934922823061
3,0.04,0.6232052824848021
3,0.04,0.6231034396332689
3,0.04,0.6122392934824651
3,0.04,0.6239309627679177
3,0.04,0.6451940003666096
3,0.04,0.6375113151482462
3,0.04,0.613412504066946
3,0.04,0.6191933702328243
3,0.04,0.6545422036317177
3,0.08,0.29858950480120255
3,0.08,0.3106502989016008
3,0.08,0.3113753122840232
3,0.08,0.3058479778177571
3,0.08,0.31106797221582383
3,0.08,0.3111429079513376
3,0.08,0.3095563032994202
3,0.08,0.3157365782671453
3,0.08,0.32834099281656864
3,0.08,0.3155119940172881
3,0.16,0.15500900153225908
3,0.16,0.15319248726591467
3,0.16,0.15522913173384342
3,0.16,0.15516966880143931
3,0.16,0.15737136775084462
3,0.16,0.15193948808397786
3,0.16,0.1534777624338555
3,0.16,0.15736046965078762
3,0.16,0.15337047535188805
3,0.16,0.16215072710183448
4,0.005,3.810737511482633
4,0.005,3.7341621315999265
4,0.005,3.7872496752165414
